genosisEntityIRI;localOFBEntityIRI
http://example.org/genosis.owl#Global:hasProfileVisibility;http://saralutami.org/OnlineForumBlogs#hasProfileVisibility^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#OFB:Post;http://saralutami.org/OnlineForumBlogs#Post^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:commentCount;http://saralutami.org/OnlineForumBlogs#hasDraftCommentsCount^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#OFB:TrendingContent;http://saralutami.org/OnlineForumBlogs#TrendingContent^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:searchesFor;http://saralutami.org/OnlineForumBlogs#searchesFor^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#OFB:LikeAction;http://saralutami.org/OnlineForumBlogs#Like^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:repliesToMessage;http://saralutami.org/OnlineForumBlogs#repliesToMessage^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasCreationTimestamp;http://saralutami.org/OnlineForumBlogs#hasAnonymousPostTimestamp^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:deletesMessage;http://saralutami.org/OnlineForumBlogs#deletesMessage^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:viewCount;http://saralutami.org/OnlineForumBlogs#hasViewsCount^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:canEditProfileSetting;http://saralutami.org/OnlineForumBlogs#canEditProfile^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#OFB:CommunityModerationAction;http://saralutami.org/OnlineForumBlogs#CommunityModeration^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#hasGroupCreationTimestamp;http://saralutami.org/OnlineForumBlogs#hasCommunityCreationDate^^<http://www.w3.org/2001/XMLSchema#string>
