genosisEntityIRI;localOSNEntityIRI
http://example.org/genosis.owl#Global:hasCreationTimestamp;http://saralutami.org/OnlineSocialNetworkSites#hasRuleCreationTimestamp^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:commentsOn;http://saralutami.org/OnlineSocialNetworkSites#commentsOn^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasIpAddress;http://saralutami.org/OnlineSocialNetworkSites#hasLoginIP^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasCreationTimestamp;http://saralutami.org/OnlineSocialNetworkSites#hasPostCreationTimestamp^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:reactedBy;http://saralutami.org/OnlineSocialNetworkSites#reactedBy^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:GroupName;http://saralutami.org/OnlineSocialNetworkSites#hasGroupName^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:attributedToUser;http://saralutami.org/OnlineSocialNetworkSites#postedBy^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasClosedCaptions;http://saralutami.org/OnlineSocialNetworkSites#hasClosedCaption^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasCreationTimestamp;http://saralutami.org/OnlineSocialNetworkSites#hasFileUploadTimestamp^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasIpAddress;http://saralutami.org/OnlineSocialNetworkSites#hasEventInteractionIP^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasCreationTimestamp;http://saralutami.org/OnlineSocialNetworkSites#hasEventCreationTimestamp^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#hasEmail;http://saralutami.org/OnlineSocialNetworkSites#hasEmail^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:viewsMessage;http://saralutami.org/OnlineSocialNetworkSites#viewsMessages^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:isNotificationSoundEnabled;http://saralutami.org/OnlineSocialNetworkSites#hasNotificationSoundsSettings^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#hasGroupRules;http://saralutami.org/OnlineSocialNetworkSites#hasGroupRules^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:postedBy;http://saralutami.org/OnlineSocialNetworkSites#postedBy^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#OSN:VideoContent;http://saralutami.org/OnlineSocialNetworkSites#VideoContent^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#hasPrivateAccount;http://saralutami.org/OnlineSocialNetworkSites#hasPrivateAccount^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasMessageSentTimestamp;http://saralutami.org/OnlineSocialNetworkSites#hasMessageSendTimestamp^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#OSN:PrivacySettings;http://saralutami.org/OnlineSocialNetworkSites#PrivacySettings^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#OSN:DirectMessage;http://saralutami.org/OnlineSocialNetworkSites#DirectMessages^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#OSN:ShortVideoContent;http://saralutami.org/OnlineSocialNetworkSites#ShortVideoContent^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#OSN:NotificationSettings;http://saralutami.org/OnlineSocialNetworkSites#NotificationSettings^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#hasAccountPrivacy;http://saralutami.org/OnlineSocialNetworkSites#hasAccountPrivacy^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:commentedBy;http://saralutami.org/OnlineSocialNetworkSites#commentedBy^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:videoCount;http://saralutami.org/OnlineSocialNetworkSites#hasVideoCount^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasLocation;http://saralutami.org/OnlineSocialNetworkSites#hasEventLocation^^<http://www.w3.org/2001/XMLSchema#string>
