genosisEntityIRI;localMCSSEntityIRI
http://example.org/genosis.owl#Global:GroupName;http://saralutami.org/MediaContentSharingSites#hasGroupMessageTitle^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:likeCount;http://saralutami.org/MediaContentSharingSites#hasLikeCount^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#MCSS:BreakingNews;http://saralutami.org/MediaContentSharingSites#BreakingNews^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:reportsAccount;http://saralutami.org/MediaContentSharingSites#reportsUser^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:userSharesContent;http://saralutami.org/MediaContentSharingSites#sharesContent^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#MCSS:ReportAction;http://saralutami.org/MediaContentSharingSites#Report^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasCreationTimestamp;http://saralutami.org/MediaContentSharingSites#hasChannelCreationDate^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasInteractionTimestamp;http://saralutami.org/MediaContentSharingSites#hasShareTimestamp^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#hasScheduledPublishTimestamp;http://saralutami.org/MediaContentSharingSites#hasPostScheduleTime^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:likedContent;http://saralutami.org/MediaContentSharingSites#likesContent^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:sendsVoiceNoteTo;http://saralutami.org/MediaContentSharingSites#sendsVoiceNoteTo^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:commentsOn;http://saralutami.org/MediaContentSharingSites#commentsOnContent^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#MCSS:belongsToLive;http://saralutami.org/MediaContentSharingSites#belongsToLive^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasParticipant;http://saralutami.org/MediaContentSharingSites#hasGroupParticipants^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:repliesToMessage;http://saralutami.org/MediaContentSharingSites#repliesToMessage^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasMessageReaction;http://saralutami.org/MediaContentSharingSites#hasMessageReaction^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:commentsOn;http://saralutami.org/MediaContentSharingSites#associatedWithCommentedPost^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#MCSS:NewsInformationFeature;http://saralutami.org/MediaContentSharingSites#NewsInformation^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#MCSS:NotificationSettings;http://saralutami.org/MediaContentSharingSites#NotificationSettings^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasInteractionTimestamp;http://saralutami.org/MediaContentSharingSites#hasReportTimestamp^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasLastActivityTimestamp;http://saralutami.org/MediaContentSharingSites#hasLastLoginDate^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasIpAddress;http://saralutami.org/MediaContentSharingSites#hasPostIP^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasMessageSentTimestamp;http://saralutami.org/MediaContentSharingSites#hasTimestamp^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:reportsChannel;http://saralutami.org/MediaContentSharingSites#reportsChannel^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasInteractionTimestamp;http://saralutami.org/MediaContentSharingSites#hasGiftTimestamp^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#MCSS:ShortVideo;http://saralutami.org/MediaContentSharingSites#ShortVideo^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasCreationTimestamp;http://saralutami.org/MediaContentSharingSites#hasGroupMessageCreatedTimestamp^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasInteractionTimestamp;http://saralutami.org/MediaContentSharingSites#hasDislikeTimestamp^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:interactsWithShop;http://saralutami.org/MediaContentSharingSites#interactsWithShop^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:commentedBy;http://saralutami.org/MediaContentSharingSites#commentedBy^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:reportsMessage;http://saralutami.org/MediaContentSharingSites#reportsMessage^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#hasUsername;http://saralutami.org/MediaContentSharingSites#hasUsername^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasLocation;http://saralutami.org/MediaContentSharingSites#hasVideoLocation^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:isNotificationSoundEnabled;http://saralutami.org/MediaContentSharingSites#hasNotificationSoundSetting^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#MCSS:DislikeAction;http://saralutami.org/MediaContentSharingSites#Dislike^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#hasProfilePicture;http://saralutami.org/MediaContentSharingSites#hasProfilePicture^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:deletesMessage;http://saralutami.org/MediaContentSharingSites#deletesMessage^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#hasPhoneNumber;http://saralutami.org/MediaContentSharingSites#hasPhoneNumber^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:receivesRecommendation;http://saralutami.org/MediaContentSharingSites#receivesRecommendation^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:editsAvatar;http://saralutami.org/MediaContentSharingSites#canEditAvatar^^<http://www.w3.org/2001/XMLSchema#string>
