genosisEntityIRI;localMPEntityIRI
http://example.org/genosis.owl#Global:unfollows;http://saralutami.org/MicrobloggingPlatforms#unfollow^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:blocksUser;http://saralutami.org/MicrobloggingPlatforms#blocks^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:repliesToMessage;http://saralutami.org/MicrobloggingPlatforms#repliesToMessage^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:likesComment;http://saralutami.org/MicrobloggingPlatforms#likesComment^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#hasBio;http://saralutami.org/MicrobloggingPlatforms#hasBio^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:searchesFor;http://saralutami.org/MicrobloggingPlatforms#searchesForCommunity^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:unblocksUser;http://saralutami.org/MicrobloggingPlatforms#unblocks^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:savesSearch;http://saralutami.org/MicrobloggingPlatforms#saveSearchesFor^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:likedContent;http://saralutami.org/MicrobloggingPlatforms#likesPost^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:userPinsCommunity;http://saralutami.org/MicrobloggingPlatforms#pinsCommunity^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#hasGroupCreationTimestamp;http://saralutami.org/MicrobloggingPlatforms#hasCreationDate^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#MP:ReportAction;http://saralutami.org/MicrobloggingPlatforms#Report^^<http://www.w3.org/2001/XMLSchema#string>
